ActivityDate,Calories,TotalSteps,TotalDistance,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,ActivityCalories,Id
1/2/2024,,3842,1.05,"1,315",74,19,32,643,1
1/3/2024,,5884,2.26,"1,326",72,6,36,642,1
1/4/2024,,298,0.13,"1,438",2,0,0,5,1
1/6/2024,,3517,1.45,"1,358",61,4,17,361,1
1/9/2024,,287,0.12,"1,409",31,0,0,114,1
1/10/2024,,359,0.15,"1,398",42,0,0,201,1
1/11/2024,,2788,1.18,"1,368",62,4,6,305,1
1/13/2024,,4006,1.43,"1,284",66,35,55,830,1
1/14/2024,,620,0.26,"1,240",115,28,57,1056,1
1/16/2024,,5850,2.44,"1,340",62,4,34,549,1
1/17/2024,,2509,0.47,"1,363",25,7,45,492,1
1/21/2024,,10053,4.17,"1,301",51,35,53,743,1
1/22/2024,,2158,0.38,"1,362",27,5,46,517,1
1/23/2024,,3457,1.47,"1,348",58,26,8,409,1
1/24/2024,,8906,3.77,"1,278",84,28,50,800,1
1/25/2024,,3791,1.61,"1,378",40,0,22,321,1
1/26/2024,,1868,0.62,"1,364",49,18,9,334,1
1/27/2024,,18616,7.89,"1,030",381,21,8,1631,1
1/28/2024,,7675,3.29,"1,316",67,13,44,664,1
1/29/2024,,1979,0.42,"1,373",26,4,37,418,1
1/30/2024,,6513,2.76,"1,282",41,46,71,906,1
3/25/2016,1819,11004,7.110000134,804,205,12,33,,1503960366
3/26/2016,2154,17609,11.55000019,588,274,17,89,,1503960366
3/27/2016,1944,12736,8.529999733,605,268,5,56,,1503960366
3/28/2016,1932,13231,8.930000305,1080,224,20,39,,1503960366
3/29/2016,1886,12041,7.849999905,763,243,28,28,,1503960366
3/30/2016,1820,10970,7.159999847,1174,223,13,30,,1503960366
3/31/2016,1889,12256,7.860000134,820,239,12,33,,1503960366
4/1/2016,1868,12262,7.869999886,866,200,21,47,,1503960366
4/2/2016,1843,11248,7.25,636,244,11,40,,1503960366
4/3/2016,1850,10016,6.369999886,655,314,30,15,,1503960366
4/4/2016,2030,14557,9.800000191,757,285,18,43,,1503960366
4/5/2016,2083,14844,9.729999542,736,341,18,36,,1503960366
4/6/2016,1861,11974,7.670000076,1173,228,12,27,,1503960366
4/7/2016,1755,10198,6.440000057,1208,195,20,17,,1503960366
4/8/2016,1895,12521,7.940000057,1160,212,22,46,,1503960366
4/9/2016,1883,12432,8.100000381,738,248,15,32,,1503960366
4/10/2016,1755,10057,6.980000019,737,168,13,44,,1503960366
4/11/2016,1811,10990,7.260000229,855,216,14,26,,1503960366
4/12/2016,50,224,0.140000001,32,9,0,0,,1503960366
3/25/2016,1373,1810,1.179999948,1319,121,0,0,,1624580081
3/26/2016,1264,815,0.529999971,1393,47,0,0,,1624580081
3/27/2016,1350,1985,1.289999962,1328,112,0,0,,1624580081
3/28/2016,1342,1905,1.24000001,1345,95,0,0,,1624580081
3/29/2016,1300,1552,1.00999999,1374,66,0,0,,1624580081
3/30/2016,1313,1675,1.090000033,1356,84,0,0,,1624580081
3/31/2016,1498,4506,2.930000067,1285,144,4,7,,1624580081
4/1/2016,1541,9218,5.989999771,1219,221,0,0,,1624580081
4/2/2016,1327,1556,1.00999999,1352,88,0,0,,1624580081
4/3/2016,1452,2910,1.889999986,1283,157,0,0,,1624580081
4/4/2016,1574,18464,12,1170,270,0,0,,1624580081
4/5/2016,1308,1335,0.870000005,1366,74,0,0,,1624580081
4/6/2016,1276,1004,0.649999976,1385,55,0,0,,1624580081
4/7/2016,1278,1111,0.720000029,1386,54,0,0,,1624580081
4/8/2016,1409,6344,4.119999886,1297,143,0,0,,1624580081
4/9/2016,1370,3572,2.319999933,1318,122,0,0,,1624580081
4/10/2016,1555,3910,2.539999962,1240,186,7,7,,1624580081
4/11/2016,1469,10000,6.5,1268,172,0,0,,1624580081
4/12/2016,706,6627,4.309999943,604,89,0,0,,1624580081
4/1/2016,3323,4636,3.410000086,838,586,16,0,,1644430081
4/2/2016,4029,20237,14.71000004,918,347,141,34,,1644430081
4/3/2016,3436,12912,9.409999847,1082,283,16,59,,1644430081
4/4/2016,2444,2819,2.049999952,1345,87,4,4,,1644430081
4/5/2016,3098,9921,7.210000038,1181,219,35,5,,1644430081
4/6/2016,2925,8046,5.849999905,1244,137,41,18,,1644430081
4/7/2016,3202,11166,8.119999886,1149,230,58,3,,1644430081
4/8/2016,2928,7842,5.699999809,1229,161,43,7,,1644430081
4/9/2016,3290,13840,10.06000042,1149,192,81,18,,1644430081
4/10/2016,489,1329,0.970000029,207,35,0,0,,1644430081
4/1/2016,1969,6847,4.53000021,1171,251,9,9,,1844505072
4/2/2016,1889,5367,3.549999952,1177,263,0,0,,1844505072
4/3/2016,1636,2841,1.879999995,1114,136,0,0,,1844505072
4/6/2016,1349,7,0,1439,1,0,0,,1844505072
4/7/2016,1965,6344,4.190000057,1150,290,0,0,,1844505072
4/8/2016,1824,5316,3.50999999,1219,221,0,0,,1844505072
4/9/2016,1807,4979,3.289999962,620,184,0,0,,1844505072
4/10/2016,1971,6556,4.340000153,810,305,0,0,,1844505072
4/11/2016,1888,5430,3.589999914,1189,251,0,0,,1844505072
4/1/2016,2590,4317,2.99000001,854,192,11,0,,1927972279
4/2/2016,2783,5662,3.920000076,858,267,0,0,,1927972279
4/3/2016,2449,3198,2.210000038,1183,146,0,0,,1927972279
4/4/2016,2380,2352,1.629999995,829,128,0,0,,1927972279
4/5/2016,2344,2234,1.549999952,912,108,0,0,,1927972279
4/6/2016,2202,1259,0.870000005,938,73,0,0,,1927972279
4/7/2016,2130,768,0.529999971,1397,43,0,0,,1927972279
4/8/2016,2088,519,0.360000014,1406,34,0,0,,1927972279
4/9/2016,2443,2523,1.75,1250,134,9,0,,1927972279
4/10/2016,2442,2105,1.460000038,805,139,0,0,,1927972279
4/11/2016,2255,1209,0.839999974,842,73,0,0,,1927972279
4/12/2016,942,24,0.02,161,3,0,0,,1927972279
4/1/2016,2645,13603,9.600000381,1139,213,16,72,,2022484408
4/2/2016,2040,5477,3.839999914,1203,237,0,0,,2022484408
4/3/2016,2395,11144,7.820000172,1114,279,22,25,,2022484408
4/4/2016,2581,15313,11,1126,233,19,62,,2022484408
4/5/2016,2735,10805,7.590000153,1069,298,37,36,,2022484408
